filename,true_id,pred_top1,hit_top1,preds_top5,hit_top5,distance_top1,name,size,proof,abv,spirit_type,brand_id,popularity,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
17101.jpg,17101,17101,True,"[17101, 18939, 20005, 18354, 27294]",True,0.0,"Booker's 6 Year ""Tagalong Batch"" - 2021",750,,63.95,Bourbon,647.0,200.0,90.0,126.1,205.83,950,93,256,601,422
1807.jpg,1807,1807,True,"[1807, 567, 3660, 281, 149]",True,0.0,Woodford Reserve Wheat,750,90.4,45.2,Rye,2004.0,200.0,37.98,45.24,37.99,1094,81,272,741,354
19879.jpg,19879,19879,True,"[19879, 41273, 48400, 19529, 18042]",True,0.0,Stagg - 22A,750,132.0,66.0,Bourbon,3640.0,200.0,80.0,255.95,249.99,1751,114,541,1096,231
19851.jpg,19851,19851,True,"[19851, 495, 1821, 678, 1522]",True,0.0,Maker’s Mark French Oaked No. 46 Cask Strength 23-01,750,110.0,55.0,Bourbon,333.0,200.0,65.0,67.83,76.33,1359,70,364,925,291
23515.jpg,23515,23515,True,"[23515, 18439, 1165, 17214, 13347]",True,0.0,Four Roses Single Barrel,750,,50.0,Bourbon,148.0,100079.0,45.99,62.71,48.29,1105,139,198,768,348
363.jpg,363,363,True,"[363, 18185, 18184, 46347, 12902]",True,0.0,Jim Beam Double Oak,750,86.0,43.0,Bourbon,247.0,200.0,22.9,28.12,25.74,862,71,225,566,449
1580.jpg,1580,1580,True,"[1580, 5120, 3123, 4739, 4083]",True,0.0,Colonel E.H. Taylor Amaranth,750,100.0,50.0,Bourbon,210.0,1700.0,68.03,210.62,1829.59,1442,1054,332,56,278
13979.jpg,13979,13979,True,"[13979, 17397, 17921, 21291, 19223]",True,0.0,Old Fitzgerald 14 Year - Fall 2020,750,100.0,50.0,Bourbon,234.0,1700.0,132.48,252.23,611.49,935,585,212,138,426
28079.jpg,28079,28079,True,"[28079, 4905, 21106, 46254, 17089]",True,0.0,Elmer T. Lee Sour Mash,750,,45.0,Bourbon,700.0,100070.0,39.99,104.95,299.85,1240,274,295,671,310
19529.jpg,19529,19529,True,"[19529, 48400, 41273, 18042, 17802]",True,0.0,Stagg Batch 22B,750,,65.0,Bourbon,8803.0,200.0,55.0,270.44,293.49,1618,65,508,1045,253
27160.png,27160,27160,True,"[27160, 48189, 18075, 4245, 1462]",True,0.0,Larceny Barrel Proof A124,750,124.2,62.1,Bourbon,587.0,100028.0,59.99,84.69,79.16,1000,41,89,870,390
3181.jpg,3181,3181,True,"[3181, 726, 4414, 17126, 3208]",True,0.0,Yamazaki 12 Year,700,86.0,43.0,Japanese Whisky,238.0,200.0,134.15,231.33,174.56,1661,234,550,877,247
17921.jpg,17921,17921,True,"[17921, 13979, 17397, 21291, 19223]",True,0.0,Old Fitzgerald 17 Year,750,100.0,50.0,Bourbon,234.0,1000.0,109.99,350.74,1072.98,1197,518,397,282,322
1966.jpg,1966,1966,True,"[1966, 20574, 726, 1579, 4581]",True,0.0,Jack Daniel's Sinatra Select,1000,90.0,45.0,Whiskey,231.0,100030.0,156.13,238.67,189.19,4235,530,1612,2093,88
3142.jpg,3142,3142,True,"[3142, 893, 2159, 4427, 2769]",True,0.0,Old Forester Rye,750,100.0,50.0,Rye,152.0,200.0,24.85,26.75,26.41,1125,130,267,728,339
3793.jpg,3793,3793,True,"[3793, 993, 3286, 2147, 18708]",True,0.0,High West American Prairie Bourbon,750,92.0,46.0,Bourbon,350.0,100.0,36.82,57.5,40.8,1597,157,358,1082,258
18233.jpg,18233,18233,True,"[18233, 18712, 22361, 3454, 33325]",True,0.0,Elijah Craig Barrel Proof Batch B522,750,121.0,60.5,Bourbon,2.0,1200.0,72.47,113.91,89.97,1938,127,436,1375,200
14409.jpg,14409,14409,True,"[14409, 987, 2192, 477, 44955]",True,0.0,Widow Jane Decadence,750,91.0,45.5,Whiskey,295.0,100062.0,84.97,127.96,146.31,3342,438,862,2042,118
44955.jpg,44955,44955,True,"[44955, 987, 1355, 2019, 786]",True,0.0,Bardstown Origin Series Wheated Bourbon,750,106.0,53.0,Bourbon,778.0,100059.0,49.99,66.26,53.99,1269,255,225,789,303
4598.jpg,4598,4598,True,"[4598, 158, 409, 1586, 18104]",True,0.0,Weller Antique 107,1750,107.0,53.5,Bourbon,156.0,100058.0,99.99,165.4,299.99,3168,782,1145,1241,125
16791.jpg,16791,16791,True,"[16791, 4739, 5120, 17630, 21257]",True,0.0,Colonel E.H. Taylor Warehouse C,750,100.0,50.0,Bourbon,210.0,200.0,73.97,475.05,1645.42,1180,528,553,99,326
2670.jpg,2670,2670,True,"[2670, 1629, 3317, 4476, 4002]",True,0.0,Michter's Limited Release Toasted Barrel Strength,750,110.0,55.0,Bourbon,405.0,200.0,79.15,146.87,339.85,877,360,234,283,443
3208.jpg,3208,3208,True,"[3208, 2128, 1142, 4662, 11035]",True,0.0,The Balvenie Double Wood 12 year,750,,43.0,Single Malt Scotch Whisky,337.0,200.0,65.96,85.27,72.28,957,119,237,601,415
1355.jpg,1355,1355,True,"[1355, 2769, 4631, 786, 2193]",True,0.0,Nikka Coffey Grain Japanese Whisky,750,90.0,45.0,Japanese Whisky,378.0,1940.0,70.92,76.44,75.66,760,145,185,430,492
19465.jpg,19465,19465,True,"[19465, 18228, 20783, 19819, 17547]",True,0.0,Larceny Barrel Proof A123,750,126.0,63.0,Bourbon,587.0,1600.0,59.99,96.48,93.64,1629,122,416,1091,252
25363.jpg,25363,25363,True,"[25363, 3660, 27454, 149, 2336]",True,0.0,Woodford Reserve Derby 150 2024 Release,1000,,45.2,Bourbon,2004.0,100035.0,54.99,92.12,67.59,1128,46,122,960,338
4588.jpg,4588,4588,True,"[4588, 1924, 17158, 3616, 2193]",True,0.0,Rowan's Creek 12 Year,750,,50.05,Bourbon,8524.0,200.0,48.81,71.85,54.67,2031,170,479,1382,184
164.jpg,164,14147,False,"[14147, 164, 3867, 17223, 159]",True,0.0,Blanton's Original Single Barrel,750,93.0,46.5,Bourbon,10.0,100737.0,74.99,104.52,139.86,92451,8983,29697,53771,1
158.jpg,158,4598,False,"[4598, 158, 409, 1586, 18104]",True,0.0,Weller Antique 107,750,,53.5,Bourbon,156.0,100266.0,56.35,116.66,109.89,40001,8098,13989,17914,5
48400.jpg,48400,48400,True,"[48400, 19529, 18042, 17802, 19879]",True,0.0,Stagg 24B,750,127.8,63.9,Bourbon,3640.0,100150.0,,163.28,219.99,1781,425,514,842,225
19883.jpg,19883,19883,True,"[19883, 1066, 1269, 16879, 15345]",True,0.0,Evan Williams Bottled in Bond Green Label,750,100.0,50.0,Bourbon,167.0,200.0,15.0,28.09,19.99,996,89,246,661,392
2476.jpg,2476,2476,True,"[2476, 2803, 873, 17898, 40819]",True,0.0,Old Grand Dad Bonded,750,,50.0,Bourbon,793.0,100028.0,23.66,36.25,27.49,2773,279,721,1773,137
17138.jpg,17138,17138,True,"[17138, 18778, 17040, 363, 2969]",True,0.0,Remus Repeal Reserve V,750,100.0,50.0,Bourbon,586.0,1600.0,90.0,241.09,149.99,2004,406,741,857,188
4952.jpg,4952,4952,True,"[4952, 3097, 4857, 4496, 18883]",True,0.0,Elijah Craig 18 Year Single Barrel,750,90.0,45.0,Bourbon,2.0,100078.0,136.4,236.83,282.16,8228,1366,2745,4117,32
45695.jpg,45695,45695,True,"[45695, 20574, 34488, 39325, 542]",True,0.0,Little Book The Infinite I 2024,750,120.0,60.0,Bourbon,823.0,100056.0,199.99,283.51,324.99,845,145,209,491,454
1816.jpg,1816,1816,True,"[1816, 17126, 1641, 5196, 1702]",True,0.0,Wild Turkey Rare Breed,750,116.8,58.4,Bourbon,191.0,100084.0,46.03,70.61,68.79,13373,2054,3516,7803,19
17064.jpg,17064,17064,True,"[17064, 3860, 1786, 18185, 18184]",True,0.0,Jack Daniel's Bottled in Bond,1000,100.0,50.0,Whiskey,231.0,600.0,37.99,56.2,98.11,954,107,295,552,418
3152.jpg,3152,3152,True,"[3152, 4662, 5208, 413, 2034]",True,0.0,George Dickel Bottled in Bond Tennessee Whiskey 13 Year,750,100.0,50.0,Whiskey,486.0,1600.0,40.3,66.26,79.98,1939,209,588,1142,199
1786.jpg,1786,1786,True,"[1786, 2086, 2973, 2019, 17064]",True,0.0,Knob Creek Single Barrel Rye,750,115.0,57.5,Rye,189.0,200.0,54.77,79.14,58.82,954,39,221,694,418
17925.jpg,17925,17925,True,"[17925, 21216, 263, 3562, 1142]",True,0.0,Basil Hayden Subtle Smoke,750,80.0,40.0,Bourbon,330.0,1400.0,52.47,65.03,60.99,1239,129,302,808,311
17500.jpg,17500,17500,True,"[17500, 4742, 3775, 11035, 1211]",True,0.0,Yellowstone Select Landmark Edition,750,93.0,46.5,Bourbon,272.0,200.0,39.97,45.48,43.59,755,27,180,548,495
1547.jpg,1547,1547,True,"[1547, 726, 34488, 45695, 20574]",True,0.0,Johnnie Walker Blue Label,750,80.0,40.0,Scotch,213.0,94.0,222.18,271.87,230.72,1429,136,401,892,281
1584.jpg,1584,1584,True,"[1584, 4476, 17328, 16484, 3956]",True,0.0,Chicken Cock Straight Bourbon,750,90.0,45.0,Bourbon,664.0,200.0,61.47,80.01,64.65,1251,98,327,826,307
13955.jpg,13955,13955,True,"[13955, 17177, 4789, 18440, 18185]",True,0.0,Rabbit Hole Cavehill,750,95.0,47.5,Bourbon,573.0,200.0,59.97,100.85,65.99,1722,133,474,1115,235
17299.jpg,17299,17299,True,"[17299, 19540, 16693, 4708, 17177]",True,0.0,Frey Ranch Bourbon,750,90.0,45.0,Bourbon,3285.0,200.0,49.99,63.6,51.56,1271,201,285,785,302
993.jpg,993,993,True,"[993, 3793, 3286, 2147, 263]",True,0.0,High West Rendezvous Rye,750,92.0,46.0,Rye,350.0,200.0,68.7,74.45,74.85,1046,107,284,655,373
987.jpg,987,987,True,"[987, 14409, 44955, 17611, 1355]",True,0.0,Widow Jane 10 Year Straight Bourbon,750,91.0,45.5,Bourbon,295.0,100029.0,59.99,100.87,89.99,5119,792,1328,2999,71
44603.jpg,44603,44603,True,"[44603, 993, 3672, 38465, 3651]",True,0.0,Maker's Mark Cellar Aged 2024 Release,750,,59.65,Bourbon,333.0,100046.0,174.99,330.08,551.99,812,279,186,347,467
17924.jpg,17924,17924,True,"[17924, 19626, 17054, 13891, 16893]",True,0.0,Heaven Hill 17 Year Heritage Collection 2022 Release,750,118.0,59.0,Bourbon,430.0,1600.0,274.99,646.78,1615.71,1230,510,501,219,313
18356.jpg,18356,18356,True,"[18356, 2993, 41273, 17611, 18042]",True,0.0,Stagg Jr. Batch 15,750,,65.55,Bourbon,8803.0,100036.0,53.3,249.2,263.45,840,157,184,499,457
17688.jpg,17688,17688,True,"[17688, 2214, 15989, 1948, 3860]",True,0.0,Old Forester Rye Barrel Strength Single Barrel,750,,64.05,Rye,152.0,200.0,79.99,124.24,124.97,1877,226,502,1149,208
429.jpg,429,429,True,"[429, 2769, 263, 5155, 3249]",True,0.0,Old Forester Statesman,750,95.0,47.5,Bourbon,152.0,100029.0,52.87,81.93,59.49,3261,342,848,2071,121
2311.jpg,2311,2311,True,"[2311, 3997, 803, 19502, 1800]",True,0.0,Redwood Empire Emerald Giant,750,90.0,45.0,Rye,445.0,200.0,40.64,44.2,41.96,1343,136,325,882,295
1142.jpg,1142,1142,True,"[1142, 4631, 4662, 2769, 2193]",True,0.0,Buffalo Trace Kosher Rye 7 Year,750,,47.0,Rye,245.0,1700.0,39.99,60.59,71.99,1131,276,339,516,335
3755.jpg,3755,3755,True,"[3755, 3672, 3655, 17378, 17399]",True,0.0,Angel's Envy Rye,750,100.0,50.0,Rye,96.0,100.0,95.69,125.56,110.0,3749,390,1058,2301,101
4984.jpg,4984,4984,True,"[4984, 4575, 21257, 4631, 4739]",True,0.0,"E.H. Taylor, Jr. Small Batch",750,,50.0,Bourbon,210.0,100407.0,44.99,94.43,93.57,61777,8161,19475,34141,3
159.jpg,159,159,True,"[159, 17223, 14147, 164, 3867]",True,0.0,Blanton's Gold Edition,750,103.0,51.5,Bourbon,10.0,100190.0,119.99,232.52,324.99,14458,3680,4511,6267,15
4589.jpg,4589,4589,True,"[4589, 1586, 18104, 40819, 2803]",True,0.0,Weller C.Y.P.B.,750,,47.5,Bourbon,156.0,100091.0,49.17,231.09,131.66,10094,4091,3360,2643,24
4576.jpg,4576,4576,True,"[4576, 4476, 4002, 1584, 5194]",True,0.0,Michter's Single Barrel Rye 10 Year,750,93.0,46.5,Rye,405.0,100038.0,158.6,287.59,275.99,3292,663,1053,1576,120
21689.jpg,21689,21689,True,"[21689, 435, 2839, 2549, 3265]",True,0.0,Crown Royal Blackberry,750,70.0,35.0,Canadian Whisky,182.0,100067.0,33.95,43.69,36.67,3204,94,734,2376,123
19466.jpg,19466,19466,True,"[19466, 17176, 17247, 17248, 17246]",True,0.0,Peerless Double Oak Rye,750,110.0,55.0,Rye,163.0,200.0,114.99,144.83,132.49,763,84,213,466,490
18778.jpg,18778,18778,True,"[18778, 13347, 17138, 32083, 17328]",True,0.0,Remus Repeal Reserve VI,750,100.0,50.0,Bourbon,586.0,1980.0,109.99,153.09,209.47,1704,261,498,945,242
21106.jpg,21106,21106,True,"[21106, 18042, 17802, 2594, 2993]",True,0.0,Stagg - 23C,750,125.0,62.5,Bourbon,3640.0,100042.0,59.99,197.99,175.83,2532,499,607,1426,153
19499.jpg,19499,19499,True,"[19499, 184, 2371, 1074, 263]",True,0.0,Booker’s 2023-01 Charlie’s Batch,750,127.0,63.5,Bourbon,647.0,200.0,89.99,110.34,100.59,1384,38,376,970,287
16796.jpg,16796,16796,True,"[16796, 3365, 18440, 18768, 18767]",True,0.0,Crown Royal XR Extra Rare 18 Year,750,80.0,40.0,Canadian Whisky,182.0,200.0,137.47,176.59,147.06,1077,84,381,612,359
19658.jpg,19658,19658,True,"[19658, 2316, 16050, 363, 297]",True,0.0,Old Elk Cigar Cut,750,110.6,55.3,Bourbon,252.0,0.0,124.98,137.21,142.83,891,92,288,511,438
13361.jpg,13361,13361,True,"[13361, 17054, 859, 17158, 3616]",True,0.0,Brother's Bond Bourbon,750,80.0,40.0,Bourbon,1876.0,200.0,39.39,50.59,42.13,1098,84,309,705,350
4776.jpg,4776,4776,True,"[4776, 1800, 803, 2311, 40819]",True,0.0,Pappy Van Winkle 20 Year Family Reserve,750,,45.2,Bourbon,370.0,1800.0,218.31,1072.05,2399.9,3557,2117,1073,367,105
20783.jpg,20783,20783,True,"[20783, 18228, 19465, 17547, 34209]",True,0.0,Larceny Barrel Proof Batch C923,750,,63.2,Bourbon,587.0,100028.0,59.99,104.33,75.26,4215,546,1429,2240,89
4762.jpg,4762,4762,True,"[4762, 5131, 4299, 46347, 17358]",True,0.0,Jack Daniel's Single Barrel Barrel Proof,750,128.0,64.0,Whiskey,231.0,100063.0,64.18,86.27,74.99,6225,779,1425,4021,58
3958.jpg,3958,3958,True,"[3958, 2833, 5120, 4739, 15987]",True,0.0,Basil Hayden's Bourbon,750,80.0,40.0,Bourbon,330.0,100027.0,38.95,52.11,44.13,3427,249,783,2395,114
4789.jpg,4789,4789,True,"[4789, 13955, 46347, 17177, 17358]",True,0.0,Rabbit Hole Heigold,750,95.0,47.5,Bourbon,573.0,200.0,62.47,68.6,66.99,988,97,254,637,397
28334.jpg,28334,28334,True,"[28334, 3997, 18185, 803, 11035]",True,0.0,Redwood Empire Screaming Titan,750,96.0,48.0,Bourbon,445.0,100049.0,89.99,117.24,93.28,790,114,111,565,475
12902.jpg,12902,12902,True,"[12902, 16960, 3249, 5155, 17500]",True,0.0,Calumet Farm 14 Year,750,96.2,48.1,Bourbon,769.0,1800.0,119.96,138.54,133.32,1379,304,411,664,289
18354.jpg,18354,18354,True,"[18354, 18939, 17101, 27294, 20005]",True,0.0,Booker’s Bourbon 2022-02 Lumberyard Batch,750,124.0,62.0,Bourbon,647.0,200.0,89.99,175.74,192.34,1779,123,470,1186,227
20813.jpg,20813,20813,True,"[20813, 17611, 16680, 19540, 19779]",True,0.0,2XO American Oak Oak Series Kentucky Straight Bourbon,750,92.0,46.0,Bourbon,4542.0,,49.96,64.42,50.66,923,47,257,619,432
3838.jpg,3838,3838,True,"[3838, 16484, 634, 4742, 3956]",True,0.0,Joseph Magnus Straight Bourbon,750,100.0,50.0,Bourbon,443.0,200.0,91.48,139.15,109.99,1758,206,527,1025,230
4414.jpg,4414,4414,True,"[4414, 1663, 3694, 3775, 3562]",True,0.0,Redbreast 12 Year Cask Strength,750,115.4,57.7,Irish Whiskey,646.0,200.0,83.17,108.44,94.09,1135,204,332,599,333
1587.jpg,1587,1587,True,"[1587, 651, 32717, 19594, 1269]",True,0.0,Willett Pot Still Reserve Bourbon,750,94.0,47.0,Bourbon,2986.0,100083.0,52.21,73.74,45.71,8210,765,2163,5282,33
1586.jpg,1586,1586,True,"[1586, 18104, 4589, 4598, 158]",True,0.0,Weller 12 Year The Original Wheated Bourbon,750,90.0,45.0,Bourbon,8728.0,100251.0,159.99,178.62,234.49,25142,5835,8201,11106,7
4373.jpg,4373,4373,True,"[4373, 3773, 13347, 18718, 2879]",True,0.0,Four Roses Small Batch Select,750,,52.0,Bourbon,148.0,100044.0,59.98,77.21,72.3,5865,633,1518,3714,61
1579.jpg,1579,1579,True,"[1579, 4581, 3958, 2833, 3731]",True,0.0,Basil Hayden's 10 Year,750,,40.0,Bourbon,330.0,1800.0,67.48,96.37,91.49,2206,323,630,1253,172
17264.jpg,17264,17264,True,"[17264, 16486, 18508, 966, 2831]",True,0.0,New Riff 6 Year Malted Rye,750,100.0,50.0,Rye,254.0,200.0,59.99,82.22,80.56,818,85,179,554,466
1948.jpg,1948,1948,True,"[1948, 4427, 17211, 3956, 409]",True,0.0,Old Forester Single Barrel 100 Proof,750,,50.0,Bourbon,5959.0,200.0,71.63,135.44,219.99,1775,484,188,1103,229
18396.jpg,18396,18396,True,"[18396, 13266, 3617, 17156, 12902]",True,0.0,Ben Holladay Bottled in Bond Bourbon,750,100.0,50.0,Bourbon,3647.0,100027.0,59.98,75.46,67.99,2014,247,502,1265,187
1753.jpg,1753,1753,True,"[1753, 53003, 19151, 12902, 4593]",True,0.0,Chattanooga Whiskey Experimental Single Barrel 75,750,102.0,51.0,Bourbon,3436.0,1700.0,48.99,49.34,50.39,917,179,267,471,433
18355.jpg,18355,18355,True,"[18355, 15345, 16879, 4631, 21242]",True,0.0,Smoke Wagon Uncut the Younger,750,115.0,57.5,Bourbon,2808.0,200.0,46.99,65.5,51.69,1563,90,360,1113,260
1800.jpg,1800,1800,True,"[1800, 3694, 3775, 3562, 2311]",True,0.0,Bomberger Small Batch Straight Bourbon,750,108.0,54.0,Bourbon,703.0,100033.0,91.98,166.94,277.11,2710,586,820,1304,139
3959.jpg,3959,3959,True,"[3959, 2594, 50056, 21242, 21106]",True,0.0,William Larue Weller - 2009,750,134.8,67.4,Bourbon,156.0,1820.0,104.14,563.81,1296.96,5255,2829,1917,509,69
18235.jpg,18235,18235,True,"[18235, 16484, 2034, 2371, 4742]",True,0.0,Calumet Farm 16 year Single Rack Black,750,106.0,53.0,Bourbon,769.0,200.0,129.99,167.89,154.49,2072,226,612,1234,180
2879.jpg,2879,2879,True,"[2879, 14150, 1643, 150, 3574]",True,0.0,1792 Sweet Wheat Bourbon,750,91.2,45.6,Bourbon,42.0,100063.0,37.34,87.85,77.49,6813,1776,1803,3234,50
1419.jpg,1419,1419,True,"[1419, 3773, 19806, 2533, 1388]",True,0.0,Isaac Bowman Port Barrel Finish Bourbon,750,92.0,46.0,Bourbon,6683.0,200.0,39.3,60.52,61.79,2118,154,514,1450,177
4575.jpg,4575,4575,True,"[4575, 21257, 4739, 5120, 4631]",True,0.0,"E.H. Taylor, Jr. 18 Year Marriage",750,,50.0,Bourbon,210.0,1700.0,69.99,336.92,3189.98,1896,1395,464,37,204
5131.jpg,5131,4762,False,"[4762, 5131, 4299, 46347, 17358]",True,0.0,Jack Daniel's Single Barrel Barrel Proof,375,128.0,64.0,Whiskey,231.0,60.0,33.97,75.34,45.88,2163,159,627,1377,175
20518.jpg,20518,20518,True,"[20518, 1736, 17299, 13584, 17358]",True,0.0,RD One Bourbon Brazilian Amburana Wood Finish,750,110.0,55.0,Bourbon,4107.0,,69.99,83.35,71.59,804,72,187,545,473
18939.jpg,18939,18939,True,"[18939, 17101, 18354, 20005, 39325]",True,0.0,Booker's Bourbon 2022-03 Kentucky Tea Batch,750,127.0,63.5,Bourbon,647.0,200.0,85.59,122.33,204.87,1379,57,354,968,289
18508.jpg,18508,18508,True,"[18508, 50056, 21242, 2594, 3123]",True,0.0,Willett Wheated 8 Year,750,108.0,54.0,Bourbon,2986.0,100037.0,249.99,339.41,270.58,2463,324,998,1141,158
3731.jpg,3731,3731,True,"[3731, 15984, 28334, 4476, 3181]",True,0.0,Michter's US1 Toasted Sour Mash,750,1.0,0.5,Bourbon,405.0,1960.0,45.7,65.06,57.98,4433,1128,799,2506,84
19819.jpg,19819,19819,True,"[19819, 19465, 18228, 20783, 34209]",True,0.0,Larceny Barrel Proof Batch B523,750,,62.2,Bourbon,587.0,200.0,59.0,79.14,69.39,1740,62,446,1232,232
20691.jpg,20691,20691,True,"[20691, 144, 13089, 48300, 2706]",True,0.0,Elijah Craig Barrel Proof C923,750,133.0,66.5,Bourbon,2.0,100033.0,72.48,146.32,81.57,4296,750,1106,2440,86
1708.jpg,1708,1708,True,"[1708, 4486, 18718, 19806, 4255]",True,0.0,Bowman Brothers Small Batch,750,90.0,45.0,Bourbon,687.0,100049.0,31.35,55.59,33.58,3532,283,877,2372,106
